date,securities_code,securities_name,close,open,high,low,trade_volumn
2020-11-16,3163,波若威,58.60,58.90,58.90,58.10,738
2020-11-16,3169,亞信,38.95,39.00,40.30,38.90,420
2020-11-16,3171,新洲,21.65,21.70,21.95,21.65,126
2020-11-16,3176,基亞,57.30,58.00,58.00,57.10,213
2020-11-16,3178,公準,48.75,48.50,49.50,48.50,127
2020-11-16,3188,鑫龍騰,13.90,13.90,13.90,13.75,9
2020-11-16,3191,和進,10.80,10.80,10.80,10.80,446
2020-11-16,3202,樺晟,23.40,23.50,24.40,23.35,"3,105"
2020-11-16,3205,佰研,33.70,33.40,34.45,33.40,29
2020-11-16,3206,志豐,31.30,31.35,31.50,31.20,136
2020-11-16,3207,耀勝,10.10,10.10,10.10,10.10,1
2020-11-16,3211,順達,80.00,79.80,80.20,79.60,359
2020-11-16,3213,茂訊,47.00,46.80,47.10,46.80,122
2020-11-16,3217,優群,107.50,107.00,107.50,106.00,341
2020-11-16,3218,大學光,276.00,273.00,276.50,270.50,781
2020-11-16,3219,倚強股份,39.00,39.70,39.80,39.00,14
2020-11-16,3221,台嘉碩,22.10,22.45,22.45,22.10,114
2020-11-16,3224,三顧,48.05,47.70,48.30,47.70,50
2020-11-16,3226,至寶電,57.70,57.70,57.70,57.60,7
2020-11-16,3227,原相,202.50,200.00,206.50,199.00,"7,242"
2020-11-16,3228,金麗科,90.90,93.50,93.60,90.40,764
2020-11-16,3230,錦明,6.72,6.89,6.89,6.57,49
2020-11-16,3232,昱捷,17.00,17.80,17.95,17.00,357
2020-11-16,3234,光環,43.60,43.95,44.50,43.00,"1,525"
2020-11-16,3236,千如,21.20,21.40,21.40,21.20,160
2020-11-16,3252,海灣,17.40,17.45,17.60,17.40,40
2020-11-16,3259,鑫創,40.00,39.00,40.00,39.00,178
2020-11-16,3260,威剛,58.40,58.70,58.90,58.20,"1,541"
2020-11-16,3264,欣銓,35.15,35.30,35.50,35.00,"1,349"
2020-11-16,3265,台星科,25.40,24.85,25.45,24.85,304
2020-11-16,3268,海德威,16.20,16.60,16.60,16.15,103
2020-11-16,3272,東碩,49.95,51.20,51.60,49.95,683
2020-11-16,3276,宇環,9.99,10.05,10.05,9.79,20
2020-11-16,3284,太普高,14.80,15.05,15.05,14.80,29
2020-11-16,3285,微端,20.30,20.30,20.75,20.10,207
2020-11-16,3287,廣寰科,29.30,29.60,30.60,29.05,534
2020-11-16,3288,點晶,9.88,9.88,9.88,9.88,1
2020-11-16,3289,宜特,55.80,55.90,56.50,55.50,376
2020-11-16,3290,東浦,15.00,15.35,15.35,15.00,105
2020-11-16,3293,鈊象,686.00,685.00,687.00,671.00,"1,027"
2020-11-16,3294,英濟,17.80,17.75,18.20,17.60,436
2020-11-16,3297,杭特,12.45,12.40,12.60,12.30,28
2020-11-16,3303,岱稜,22.60,22.70,22.75,22.45,135
2020-11-16,3306,鼎天,18.15,18.40,18.40,18.15,16
2020-11-16,3310,佳穎,30.95,30.75,31.95,30.75,104
2020-11-16,3313,斐成,11.95,12.25,12.25,11.70,49
2020-11-16,3317,尼克森,40.10,40.25,40.85,39.55,"2,680"
2020-11-16,3322,建舜電,7.86,7.99,7.99,7.75,20
2020-11-16,3323,加百裕,41.70,41.80,42.10,41.55,361
2020-11-16,3324,雙鴻,258.50,259.50,262.00,254.00,"4,735"
2020-11-16,3325,旭品,28.25,28.25,28.35,27.65,839
2020-11-16,3332,幸康,35.00,34.15,35.00,34.15,10
2020-11-16,3339,泰谷,11.25,11.20,11.55,10.95,36
2020-11-16,3354,律勝,11.90,12.00,12.00,11.80,36
2020-11-16,3360,尚立,15.25,15.00,15.50,14.95,271
2020-11-16,3362,先進光,35.80,35.80,36.25,34.60,750
2020-11-16,3363,上詮,26.10,26.20,26.35,26.10,309
2020-11-16,3372,典範,10.50,10.70,10.75,10.45,156
2020-11-16,3373,熱映,90.60,91.00,91.20,90.00,556
2020-11-16,3374,精材,190.00,177.50,192.00,176.00,"30,810"
2020-11-16,3379,彬台,11.55,11.75,11.85,11.55,93
2020-11-16,3388,崇越電,66.30,66.00,66.30,66.00,111
2020-11-16,3390,旭軟,14.65,14.60,14.65,14.50,24
2020-11-16,3402,漢科,30.70,29.50,30.90,29.25,"1,102"
2020-11-16,3426,台興,45.00,45.00,45.05,45.00,3
2020-11-16,3434,哲固,13.95,13.95,13.95,13.95,1
2020-11-16,3438,類比科,54.70,53.30,55.50,53.30,"1,189"
2020-11-16,3441,聯一光,24.20,24.40,24.45,24.15,36
2020-11-16,3444,利機,35.00,35.10,35.15,34.80,51
2020-11-16,3455,由田,51.60,52.00,52.00,51.50,249
2020-11-16,3465,進泰電子,144.50,148.00,149.00,142.00,52
2020-11-16,3466,致振,12.00,12.30,12.40,11.95,64
2020-11-16,3479,安勤,51.60,51.30,52.00,51.10,131
2020-11-16,3483,力致,70.50,72.20,72.30,70.40,"1,084"
2020-11-16,3484,崧騰,49.10,46.70,49.50,46.70,"4,373"
2020-11-16,3489,森寶,12.10,12.30,12.30,12.10,20
2020-11-16,3490,單井,29.85,29.60,30.15,29.60,459
2020-11-16,3491,昇達科,70.50,70.00,71.30,70.00,137
2020-11-16,3492,長盛,15.20,15.30,15.35,15.20,12
2020-11-16,3498,陽程,48.30,50.00,50.40,48.30,469
2020-11-16,3499,環天科,10.30,10.50,10.50,10.30,25
2020-11-16,3508,位速,17.60,17.75,17.75,17.50,78
2020-11-16,3511,矽瑪,26.35,25.70,26.85,25.60,934
2020-11-16,3512,皇龍,26.20,26.30,26.70,26.20,37
2020-11-16,3516,亞帝歐,14.90,15.25,15.40,14.90,148
2020-11-16,3520,華盈,16.25,16.30,16.50,16.15,26
2020-11-16,3521,鴻翊,10.10,10.15,10.15,10.10,8
2020-11-16,3522,御頂,10.70,11.00,11.00,10.65,13
2020-11-16,3523,迎輝,12.40,12.70,12.70,12.40,19
2020-11-16,3526,凡甲,81.40,80.70,81.80,80.70,432
2020-11-16,3527,聚積,89.20,88.50,89.40,88.30,108
2020-11-16,3529,力旺,587.00,574.00,588.00,573.00,953
2020-11-16,3531,先益,21.50,21.40,21.50,21.20,15
2020-11-16,3537,堡達,30.35,30.25,30.35,30.25,73
2020-11-16,3540,曜越,69.30,70.80,71.30,69.10,"1,530"
2020-11-16,3541,西柏,60.20,60.60,60.80,59.60,38
2020-11-16,3546,宇峻,76.60,76.80,77.40,76.00,374
2020-11-16,3548,兆利,68.80,70.30,70.50,68.80,369
2020-11-16,3551,世禾,54.00,53.60,54.20,53.30,535
2020-11-16,3552,同致,137.50,144.00,144.50,136.00,"8,567"
2020-11-16,3555,重鵬,32.60,31.50,32.60,31.50,5
2020-11-16,3556,禾瑞亞,55.10,54.20,55.10,54.20,300
2020-11-16,3558,神準,93.80,93.50,94.10,93.00,49
2020-11-16,3564,其陽,23.45,23.65,23.65,23.45,16
2020-11-16,3567,逸昌,25.75,25.80,25.90,25.60,41
2020-11-16,3570,大塚,79.80,80.10,80.10,79.50,20
2020-11-16,3577,泓格,29.60,29.60,29.60,29.60,10
2020-11-16,3580,友威科,48.10,45.20,48.80,45.05,"3,015"
2020-11-16,3581,博磊,18.55,18.35,18.75,18.30,81
2020-11-16,3587,閎康,89.60,89.00,89.60,88.20,688
2020-11-16,3594,磐儀,23.85,23.90,24.15,23.65,76
2020-11-16,3597,映興,21.20,21.15,22.00,20.75,238
2020-11-16,3609,東林,33.40,33.00,33.80,32.70,39
2020-11-16,3611,鼎翰,204.50,203.50,209.00,201.00,198
2020-11-16,3615,安可,18.60,19.20,19.20,18.55,272
2020-11-16,3623,富晶通,15.05,15.05,15.40,15.00,19
2020-11-16,3624,光頡,27.80,28.10,28.30,27.80,635
2020-11-16,3625,西勝,14.80,14.60,14.80,14.55,35
2020-11-16,3628,盈正,39.90,41.30,41.35,39.80,99
2020-11-16,3629,地心引力,88.00,79.00,88.00,79.00,3
2020-11-16,3630,新鉅科,42.35,42.90,42.95,42.05,408
2020-11-16,3631,晟楠,53.30,50.00,53.60,50.00,476
2020-11-16,3632,研勤,11.10,11.80,11.80,11.05,18
2020-11-16,3642,駿熠電,13.75,14.55,14.55,13.60,73
2020-11-16,3646,艾恩特,20.75,20.35,21.00,20.25,104
2020-11-16,3652,精聯,19.50,19.50,19.60,19.50,10
2020-11-16,3663,鑫科,18.55,18.65,18.65,18.45,21
2020-11-16,3664,安瑞-KY,11.25,11.05,11.40,11.05,15
2020-11-16,3666,光耀,42.00,41.85,43.00,41.00,"1,263"
2020-11-16,3672,康聯訊,22.35,23.00,23.10,22.15,55
2020-11-16,3675,德微,84.50,78.60,84.80,78.60,899
2020-11-16,3680,家登,296.50,295.50,302.50,291.50,"3,861"
2020-11-16,3684,榮昌,34.45,33.50,34.45,33.40,22
2020-11-16,3685,元創精密,19.10,19.95,19.95,18.95,40
2020-11-16,3687,歐買尬,41.80,42.80,42.85,41.55,127
2020-11-16,3689,湧德,30.10,30.40,32.00,30.10,670
2020-11-16,3691,碩禾,182.00,179.00,185.00,176.50,"2,213"
2020-11-16,3693,營邦,49.70,51.00,51.00,49.50,77
2020-11-16,3707,漢磊,28.35,28.00,28.45,28.00,"1,365"
2020-11-16,3709,鑫聯大投控,24.05,23.90,24.10,23.35,46
2020-11-16,3710,連展投控,8.38,8.45,8.59,8.31,330
2020-11-16,3713,新晶投控,40.50,41.10,41.10,39.50,251
2020-11-16,4102,永日,24.00,24.30,24.30,23.75,113
2020-11-16,4105,東洋,70.40,70.90,70.90,70.10,877
2020-11-16,4107,邦特,135.00,137.50,137.50,135.00,149
2020-11-16,4109,加捷生醫,17.05,16.85,17.30,16.75,112
2020-11-16,4111,濟生,23.90,24.05,24.10,23.90,31
2020-11-16,4113,聯上,14.40,14.50,14.50,14.35,126
2020-11-16,4114,健喬,25.50,25.40,25.70,25.40,821
2020-11-16,4116,明基醫,30.85,31.35,31.35,30.85,31
2020-11-16,4120,友華,50.30,50.20,50.50,50.00,39
2020-11-16,4121,優盛,18.45,18.70,18.70,18.30,202
2020-11-16,4123,晟德,69.40,70.00,70.30,69.10,"1,465"
2020-11-16,4126,太醫,69.70,70.00,70.10,69.60,120
2020-11-16,4127,天良,11.15,11.30,11.30,11.10,77
2020-11-16,4128,中天,68.50,69.50,70.30,68.00,"1,866"
2020-11-16,4129,聯合,34.10,34.40,34.40,34.05,60
2020-11-16,4129A,聯合甲特,47.70,47.45,47.70,47.45,10
2020-11-16,4130,健亞,30.55,30.45,30.75,30.30,280
2020-11-16,4131,晶宇,7.27,7.31,7.31,7.23,9
2020-11-16,4138,曜亞,48.80,49.00,49.00,48.80,10
2020-11-16,4139,馬光-KY,55.30,54.20,55.30,54.20,71
2020-11-16,4147,中裕,86.70,87.40,87.90,86.50,243
2020-11-16,4152,台微體,58.00,58.20,58.50,57.20,117
2020-11-16,4153,鈺緯,27.15,27.35,27.50,27.10,52
2020-11-16,4154,康樂-KY,30.40,30.50,30.50,30.40,5
2020-11-16,4157,太景*-KY,22.05,22.40,22.45,22.05,484
2020-11-16,4160,創源,24.20,24.15,24.35,24.00,55
2020-11-16,4161,聿新科,25.10,25.10,25.20,25.10,20
2020-11-16,4162,智擎,54.60,55.20,55.50,54.50,157
2020-11-16,4163,鐿鈦,98.00,98.00,98.00,97.60,68
2020-11-16,4167,松瑞藥,32.20,32.30,32.50,32.10,467
2020-11-16,4168,醣聯,25.15,25.45,25.50,25.00,99
2020-11-16,4171,瑞基,144.00,139.00,144.00,137.50,361
2020-11-16,4173,久裕,23.75,24.15,24.15,23.65,324
2020-11-16,4174,浩鼎,110.00,111.00,111.00,109.00,165
2020-11-16,4175,杏一,67.50,67.70,68.00,67.40,60
2020-11-16,4183,福永生技,21.55,21.25,21.55,21.25,22
2020-11-16,4188,安克,20.00,20.00,20.10,19.90,30
2020-11-16,4192,杏國,45.40,45.00,45.90,45.00,88
2020-11-16,4198,欣大健康,9.37,8.80,9.37,8.80,34
2020-11-16,4205,中華食,97.70,96.00,100.00,96.00,107
2020-11-16,4207,環泰,11.80,11.90,11.95,11.80,140
2020-11-16,4303,信立,25.00,25.40,25.60,24.70,26
2020-11-16,4304,勝昱,4.25,4.22,4.25,4.16,4
2020-11-16,4305,世坤,32.00,32.00,32.00,32.00,2
2020-11-16,4401,東隆興,24.90,24.95,25.10,24.85,62
2020-11-16,4402,福大,5.38,5.53,5.59,5.38,7
2020-11-16,4406,新昕纖,8.26,8.31,8.45,8.26,31
2020-11-16,4413,飛寶企業,15.80,15.95,15.95,15.50,40
2020-11-16,4416,三圓,82.00,81.10,82.00,80.90,6
2020-11-16,4417,金洲,32.65,32.80,32.95,32.65,121
2020-11-16,4419,元勝,12.05,12.00,12.05,12.00,3
2020-11-16,4420,光明,23.70,23.70,23.75,23.70,6
2020-11-16,4429,聚紡,28.00,28.00,28.00,28.00,4
2020-11-16,4430,耀億,23.55,23.40,23.80,23.40,15
2020-11-16,4432,銘旺實,16.45,16.35,16.75,16.35,28
2020-11-16,4433,興采,45.85,44.95,45.95,44.85,327
2020-11-16,4502,健信,49.95,50.00,50.00,49.50,38
2020-11-16,4503,金雨,16.05,16.20,16.50,16.00,42
2020-11-16,4506,崇友,57.50,57.50,57.80,57.30,22
2020-11-16,4510,高鋒,11.40,11.30,11.45,11.25,48
2020-11-16,4513,福裕,8.31,8.54,8.54,8.30,13
2020-11-16,4523,永彰,27.70,27.00,28.10,27.00,24
2020-11-16,4527,方土霖,28.20,28.20,28.25,28.20,18
2020-11-16,4528,江興鍛,48.75,48.30,49.30,46.90,243
2020-11-16,4529,淳紳,10.45,10.35,10.75,10.20,295
2020-11-16,4530,宏易,11.90,12.10,12.10,11.80,32
2020-11-16,4533,協易機,11.20,11.25,11.50,11.15,67
2020-11-16,4534,慶騰,8.70,8.85,9.14,8.70,359
2020-11-16,4535,至興,27.30,27.80,27.80,27.00,17
2020-11-16,4538,大詠城,15.60,16.15,16.15,15.40,16
2020-11-16,4541,晟田,18.65,18.60,18.70,18.55,12
2020-11-16,4542,科嶠,21.00,21.00,21.00,21.00,1
2020-11-16,4543,萬在,15.40,15.40,15.40,15.40,5
2020-11-16,4549,桓達,73.60,74.20,74.20,73.30,31
2020-11-16,4550,長佳,22.25,22.30,22.30,22.00,28
2020-11-16,4554,橙的,26.70,26.60,27.05,26.50,9
2020-11-16,4556,旭然,33.10,32.70,33.10,32.70,8
2020-11-16,4561,健椿,24.20,23.90,24.25,23.90,30
2020-11-16,4563,百德,31.90,31.60,31.90,31.60,8
